model,CIBerFS,CIBerFS,CIBerFS,CIBerNew,CIBerNew,CIBerNew,CIBerOld,CIBerOld,CIBerOld,NB,NB,NB,SVM,SVM,SVM,Logistic,Logistic,Logistic,MLP,MLP,MLP,LDA,LDA,LDA,LDA_PCA,LDA_PCA,LDA_PCA,Decision_Tree,Decision_Tree,Decision_Tree,KNN,KNN,KNN
stat,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
iter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.0,1.0,1.0,0.9708333333333333,0.9671351798263745,0.9688764394646747,0.9876033057851239,0.9817073170731707,0.9844070791860495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8351310538237515,0.8211037618850765,0.8262014483212641
16,1.0,1.0,1.0,0.9534526854219949,0.9468696441173505,0.9492694805194806,0.9954545454545455,0.9945054945054945,0.9949544640379424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9899183385421918,0.9899183385421918,0.9899183385421918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8457997698504027,0.8332493194878516,0.8363171355498722
17,1.0,1.0,1.0,0.9866666666666667,0.9921259842519685,0.9892749892749892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9288931788931789,0.9313450544709309,0.930090613320427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8168797953964194,0.8341063531442131,0.8221571294068417
18,1.0,1.0,1.0,0.9825581395348837,0.9871794871794872,0.9846307538615231,0.9915966386554622,0.9879518072289157,0.989665150888797,0.9957627118644068,0.9939759036144578,0.9948420373952289,1.0,1.0,1.0,1.0,1.0,1.0,0.9940476190476191,0.9957264957264957,0.994860065277171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7529411764705882,0.7546081762949233,0.7536945812807883
19,1.0,1.0,1.0,1.0,1.0,1.0,0.981651376146789,0.9789473684210526,0.9799015174354336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9952830188679245,0.9947368421052631,0.9949848291080519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8165584415584416,0.8127819548872179,0.8136536476039384
20,1.0,1.0,1.0,0.9818181818181818,0.9787234042553192,0.9798711755233495,0.9818181818181818,0.9787234042553192,0.9798711755233495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907407407407407,0.9893617021276595,0.9899507587177168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8270833333333334,0.8151344841429145,0.816905706438816
21,1.0,1.0,1.0,0.9783338419285932,0.9810741687979541,0.9796001631986944,0.9791666666666667,0.9705882352941176,0.9742101869761444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956896551724138,0.9941176470588236,0.994876917953841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8560583054965077,0.859846547314578,0.8575933272301902
22,1.0,1.0,1.0,0.962622743110548,0.9545596016184251,0.9581546186839627,0.9798387096774194,0.9691358024691358,0.9737883672773977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9958333333333333,0.9938271604938271,0.9948023597286832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8078751550227367,0.8090569561157797,0.8084439957547047
23,1.0,1.0,1.0,0.9862385321100917,0.9840425531914894,0.9849151477058454,0.9862385321100917,0.9840425531914894,0.9849151477058454,0.9953271028037383,0.9946808510638299,0.9949787853681806,1.0,1.0,1.0,1.0,1.0,1.0,0.9732142857142857,0.9680851063829787,0.9697550156265753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.832313341493268,0.8269771176234444,0.8282828282828283
24,1.0,1.0,1.0,0.9605911330049262,0.9577723378212974,0.959079283887468,0.9913793103448276,0.9883720930232558,0.989769820971867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8364448051948052,0.8382292941656466,0.8372495168345031
25,1.0,1.0,1.0,0.983739837398374,0.9753086419753086,0.9790773093419813,0.9917355371900827,0.9876543209876543,0.9895833333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9957983193277311,0.9948228106960731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.856140350877193,0.868554829339143,0.8579545454545454
26,1.0,1.0,1.0,0.9854278627532038,0.9836783029554115,0.9845261121856866,0.9915966386554622,0.9879518072289157,0.989665150888797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967774936061381,0.9708577901348986,0.9692118226600985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8244329162852202,0.8284419730202863,0.8260869565217391
27,1.0,1.0,1.0,0.98125,0.9774700289375775,0.9792509596431165,0.9876033057851239,0.9817073170731707,0.9844070791860495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939759036144578,0.9957627118644068,0.9948420373952289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8594493369774269,0.8669904919388177,0.8621006665134452
28,1.0,1.0,1.0,0.9876033057851239,0.9817073170731707,0.9844070791860495,0.9957983193277311,0.9939024390243902,0.9948228106960731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9957983193277311,0.9939024390243902,0.9948228106960731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8378607809847198,0.8290615957007028,0.832618474735851
29,1.0,1.0,1.0,0.9683348779734322,0.9614448051948052,0.9642483209479302,1.0,1.0,1.0,0.9869565217391305,0.9829545454545454,0.9847215502533676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8484292125662996,0.8465909090909092,0.8474214220323466
30,1.0,1.0,1.0,0.9823529411764707,0.9872881355932204,0.9845801958315129,0.9758064516129032,0.9634146341463414,0.9686159640129721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8411444711789937,0.8370194295163291,0.8388731515891785
31,1.0,1.0,1.0,0.99609375,0.9931506849315068,0.9945909398242055,0.9847328244274809,0.9726027397260274,0.9781635549732504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9932432432432432,0.9960629921259843,0.9946223548708021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7946666666666666,0.7979721712868083,0.7962247962247961
32,1.0,1.0,1.0,0.9854269293924467,0.9838874680306906,0.9846307538615231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8363983519244297,0.8424552429667519,0.8380402874784898
33,1.0,1.0,1.0,0.9707860445565364,0.9666666666666666,0.9686159640129721,0.9918032786885246,0.9875,0.9895386546709908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9938271604938271,0.9958333333333333,0.9948023597286832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7863367569249922,0.7875,0.7868967488760104
34,1.0,1.0,1.0,0.9725725094577553,0.9748178650617675,0.9736668861092824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9935897435897436,0.9959349593495934,0.9947333772218565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8249178981937603,0.8342836025762855,0.8284778710465448
35,1.0,1.0,1.0,0.9789293275531807,0.9808685089583966,0.9797979797979798,0.9663865546218487,0.9550561797752809,0.959079283887468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8542431660546715,0.8515538009920032,0.8526984126984127
36,1.0,1.0,1.0,0.9907407407407407,0.9893617021276595,0.9899507587177168,0.9818181818181818,0.9787234042553192,0.9798711755233495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761568706522835,0.9740064231232437,0.9748585795097423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8132183908045978,0.8063026896828582,0.8076728413807066
37,1.0,1.0,1.0,0.9899839743589745,0.9899839743589745,0.9899839743589745,0.9482758620689655,0.9375,0.9393939393939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9952380952380953,0.9947916666666667,0.994989854455272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8297275641025641,0.8297275641025641,0.8297275641025641
